,latitude,longitude,station_name,climate_id,datetime,temp,feature_id,map
803,43.0,-80.0,TORONTO CITY,6158355,2024-09-17 18:00,22.2,582aeb6dc6ce11d892e2080020a0f4c9,030M04
804,43.0,-80.0,TORONTO CITY,6158355,2024-09-17 19:00,21.6,0e31fef3d05311d892e2080020a0f4c9,030M11
805,43.0,-80.0,TORONTO CITY,6158355,2024-09-17 19:00,21.6,582aeb6dc6ce11d892e2080020a0f4c9,030M04
806,43.0,-80.0,TORONTO CITY,6158355,2024-09-17 20:00,20.9,0e31fef3d05311d892e2080020a0f4c9,030M11
807,43.0,-80.0,TORONTO CITY,6158355,2024-09-17 20:00,20.9,582aeb6dc6ce11d892e2080020a0f4c9,030M04
808,43.0,-80.0,TORONTO CITY,6158355,2024-09-17 21:00,20.1,0e31fef3d05311d892e2080020a0f4c9,030M11
809,43.0,-80.0,TORONTO CITY,6158355,2024-09-17 21:00,20.1,582aeb6dc6ce11d892e2080020a0f4c9,030M04
810,43.0,-80.0,TORONTO CITY,6158355,2024-09-17 22:00,20.2,0e31fef3d05311d892e2080020a0f4c9,030M11
811,43.0,-80.0,TORONTO CITY,6158355,2024-09-17 22:00,20.2,582aeb6dc6ce11d892e2080020a0f4c9,030M04
812,43.0,-80.0,TORONTO CITY,6158355,2024-09-17 23:00,19.7,0e31fef3d05311d892e2080020a0f4c9,030M11
813,43.0,-80.0,TORONTO CITY,6158355,2024-09-17 23:00,19.7,582aeb6dc6ce11d892e2080020a0f4c9,030M04
814,43.0,-80.0,TORONTO CITY,6158355,2024-09-18 00:00,19.5,0e31fef3d05311d892e2080020a0f4c9,030M11
815,43.0,-80.0,TORONTO CITY,6158355,2024-09-18 00:00,19.5,582aeb6dc6ce11d892e2080020a0f4c9,030M04
816,43.0,-80.0,TORONTO CITY,6158355,2024-09-18 01:00,19.5,0e31fef3d05311d892e2080020a0f4c9,030M11
817,43.0,-80.0,TORONTO CITY,6158355,2024-09-18 01:00,19.5,582aeb6dc6ce11d892e2080020a0f4c9,030M04
818,43.0,-80.0,TORONTO CITY,6158355,2024-09-18 02:00,19.7,0e31fef3d05311d892e2080020a0f4c9,030M11
819,43.0,-80.0,TORONTO CITY,6158355,2024-09-18 02:00,19.7,582aeb6dc6ce11d892e2080020a0f4c9,030M04
820,43.0,-80.0,TORONTO CITY,6158355,2024-09-18 03:00,18.0,0e31fef3d05311d892e2080020a0f4c9,030M11
821,43.0,-80.0,TORONTO CITY,6158355,2024-09-18 03:00,18.0,582aeb6dc6ce11d892e2080020a0f4c9,030M04
822,43.0,-80.0,TORONTO CITY,6158355,2024-09-18 04:00,17.7,0e31fef3d05311d892e2080020a0f4c9,030M11
823,43.0,-80.0,TORONTO CITY,6158355,2024-09-18 04:00,17.7,582aeb6dc6ce11d892e2080020a0f4c9,030M04
824,43.0,-80.0,TORONTO CITY,6158355,2024-09-18 05:00,17.2,0e31fef3d05311d892e2080020a0f4c9,030M11
825,43.0,-80.0,TORONTO CITY,6158355,2024-09-18 05:00,17.2,582aeb6dc6ce11d892e2080020a0f4c9,030M04
826,43.0,-80.0,TORONTO CITY,6158355,2024-09-18 06:00,17.6,0e31fef3d05311d892e2080020a0f4c9,030M11
827,43.0,-80.0,TORONTO CITY,6158355,2024-09-18 06:00,17.6,582aeb6dc6ce11d892e2080020a0f4c9,030M04
828,43.0,-80.0,TORONTO CITY,6158355,2024-09-18 07:00,18.1,0e31fef3d05311d892e2080020a0f4c9,030M11
829,43.0,-80.0,TORONTO CITY,6158355,2024-09-18 07:00,18.1,582aeb6dc6ce11d892e2080020a0f4c9,030M04
